64 278022.0 276632.0 283094.0 281452.0 214386.0
192 313303.0 302560.0 316119.0 317286.0 314122.0
320 273303.0 275784.0 240729.0 284065.0 233748.0
448 142217.0 258991.0 310585.0 308792.0 297444.0
576 270479.0 301876.0 304708.0 305092.0 289369.0
704 290727.0 303328.0 303108.0 302476.0 326016.0
832 278969.0 307787.0 302736.0 289383.0 310315.0
960 361671.0 360065.0 353499.0 322038.0 360934.0
1088 325649.0 341532.0 332904.0 333501.0 350965.0
1216 345409.0 343560.0 350020.0 344826.0 354165.0
1344 338591.0 342538.0 342104.0 360860.0 354825.0
1472 329324.0 353201.0 337298.0 331114.0 313469.0
1500 324377.0 310596.0 308782.0 306142.0 310656.0
